id,superhero_name,real_name,publisher,alignment,gender,race,occupation,intelligence,strength,speed,durability,power,combat,image_url,api_url
18,Alien,Xenomorph,Dark Horse Comics,bad,Male,Xenomorph XX121,-,50,28,42,90,57,60,https://www.superherodb.com/pictures2/portraits/10/100/10449.jpg,https://akabab.github.io/superhero-api/api/id/18.json
19,Allan Quatermain,,Wildstorm,good,Male,null,(former) hunter; (current) agent of the British government,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/630.jpg,https://akabab.github.io/superhero-api/api/id/19.json
20,Amazo,,DC Comics,bad,Male,Android,-,63,100,83,100,100,100,https://www.superherodb.com/pictures2/portraits/10/100/1390.jpg,https://akabab.github.io/superhero-api/api/id/20.json
21,Ammo,,Marvel Comics,bad,Male,Human,"Gang leader , criminal , former soldier",null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/184.jpg,https://akabab.github.io/superhero-api/api/id/21.json
22,Ando Masahashi,Ando Masahashi,NBC - Heroes,good,Male,null,Yamagato Industries computer programmer,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1310.jpg,https://akabab.github.io/superhero-api/api/id/22.json
23,Angel,Liam,Dark Horse Comics,good,Male,Vampire,-,75,30,58,90,100,75,https://www.superherodb.com/pictures2/portraits/10/100/10431.jpg,https://akabab.github.io/superhero-api/api/id/23.json
24,Angel,Warren Kenneth Worthington III,Archangel,good,Male,null,"Adventurer, chairman & principal stockholder of Worthington Industries, former terrorist",63,13,46,64,28,42,https://www.superherodb.com/pictures2/portraits/10/100/829.jpg,https://akabab.github.io/superhero-api/api/id/24.json
25,Angel Dust,Christina,Marvel Comics,good,Female,Mutant,-,38,55,23,42,17,30,https://www.superherodb.com/pictures2/portraits/10/100/10405.jpg,https://akabab.github.io/superhero-api/api/id/25.json
26,Angel Salvadore,Angel Salvadore Bohusk,Tempest,good,Female,null,-,38,10,28,28,56,60,https://www.superherodb.com/pictures2/portraits/10/100/1406.jpg,https://akabab.github.io/superhero-api/api/id/26.json
27,Angela,,Image Comics,bad,Female,null,-,null,97,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1070.jpg,https://akabab.github.io/superhero-api/api/id/27.json
28,Animal Man,Bernhard Baker,DC Comics,good,Male,Human,-,56,48,47,85,73,80,https://www.superherodb.com/pictures2/portraits/10/100/632.jpg,https://akabab.github.io/superhero-api/api/id/28.json
29,Annihilus,Annihilus,Marvel Comics,bad,Male,null,"Conqueror, scavenger",75,80,47,56,59,64,https://www.superherodb.com/pictures2/portraits/10/100/1307.jpg,https://akabab.github.io/superhero-api/api/id/29.json
30,Ant-Man,Hank Pym,Giant-Man,good,Male,Human,"Adventurer, Biochemist, former manager of Avengers Compound",100,18,23,28,32,32,https://www.superherodb.com/pictures2/portraits/10/100/857.jpg,https://akabab.github.io/superhero-api/api/id/30.json
31,Ant-Man II,Scott Lang,Marvel Comics,good,Male,Human,"Electronics Technician,",75,18,17,40,53,30,https://www.superherodb.com/pictures2/portraits/10/100/166.jpg,https://akabab.github.io/superhero-api/api/id/31.json
32,Anti-Monitor,,DC Comics,bad,Male,God / Eternal,-,88,100,50,100,100,90,https://www.superherodb.com/pictures2/portraits/10/100/1292.jpg,https://akabab.github.io/superhero-api/api/id/32.json
33,Anti-Spawn,Jason Wynn,Image Comics,bad,Male,null,-,null,58,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1071.jpg,https://akabab.github.io/superhero-api/api/id/33.json
34,Anti-Venom,Eddie Brock,Toxin,-,Male,Symbiote,Vigilante; former journalist for the Daily Globe,75,60,65,90,96,84,https://www.superherodb.com/pictures2/portraits/10/100/1485.jpg,https://akabab.github.io/superhero-api/api/id/34.json
35,Apocalypse,En Sabah Nur,Marvel Comics,bad,Male,Mutant,Student; formerly Conqueror; Scientist,100,100,33,100,100,60,https://www.superherodb.com/pictures2/portraits/10/100/852.jpg,https://akabab.github.io/superhero-api/api/id/35.json
36,Aquababy,"Arthur Curry, Jr.",DC Comics,good,Male,null,-,10,16,12,14,37,14,https://www.superherodb.com/pictures2/portraits/10/100/1389.jpg,https://akabab.github.io/superhero-api/api/id/36.json
37,Aqualad,Garth,DC Comics,good,Male,Atlantean,"Adventurer; Magician, former Sidekick",63,44,42,75,89,60,https://www.superherodb.com/pictures2/portraits/10/100/1395.jpg,https://akabab.github.io/superhero-api/api/id/37.json
38,Aquaman,Orin,DC Comics,good,Male,Atlantean,"Protector of the Seas and Oceans, King of Poseidonis",81,85,79,80,100,80,https://www.superherodb.com/pictures2/portraits/10/100/634.jpg,https://akabab.github.io/superhero-api/api/id/38.json
39,Arachne,Julia Carpenter,Marvel Comics,good,Female,Human,"Adventurer, fugitive, former government agent",50,48,50,70,71,70,https://www.superherodb.com/pictures2/portraits/10/100/882.jpg,https://akabab.github.io/superhero-api/api/id/39.json
40,Archangel,Warren Kenneth Worthington III,Angel,good,Male,Mutant,"Adventurer, Chairman & principal stockholder of Worthington Industries, Multi-Millionaire, Heir, former terrorist",63,13,58,64,35,42,https://www.superherodb.com/pictures2/portraits/10/100/838.jpg,https://akabab.github.io/superhero-api/api/id/40.json
41,Arclight,Philippa Sontag,Marvel Comics,bad,Female,null,Terrorist,38,63,23,42,52,70,https://www.superherodb.com/pictures2/portraits/10/100/832.jpg,https://akabab.github.io/superhero-api/api/id/41.json
42,Ardina,Ardina,Marvel Comics,good,Female,Alien,-,63,100,100,80,100,25,https://www.superherodb.com/pictures2/portraits/10/100/10132.jpg,https://akabab.github.io/superhero-api/api/id/42.json
43,Ares,,Marvel Comics,good,Male,null,-,75,82,35,80,84,101,https://www.superherodb.com/pictures2/portraits/10/100/1118.jpg,https://akabab.github.io/superhero-api/api/id/43.json
44,Ariel,Ariel,Marvel Comics,good,Female,null,"Leader, refugee alien; former alien mutant-hunter and hedonist",50,10,12,14,94,28,https://www.superherodb.com/pictures2/portraits/10/100/1348.jpg,https://akabab.github.io/superhero-api/api/id/44.json
45,Armor,Hisako Ichiki,Marvel Comics,good,Female,null,"Adventurer, student",50,63,12,80,55,54,https://www.superherodb.com/pictures2/portraits/10/100/1347.jpg,https://akabab.github.io/superhero-api/api/id/45.json
46,Arsenal,"Roy William Harper, Jr.",Speedy,good,Male,Human,-,null,54,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1014.jpg,https://akabab.github.io/superhero-api/api/id/46.json
47,Astro Boy,Atom,null,good,Male,null,-,null,90,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1159.jpg,https://akabab.github.io/superhero-api/api/id/47.json
48,Atlas,Erik Josten,Goliath,good,Male,Mutant,"Adventurer; former professional criminal, mercenary, dock worker, soldier",63,80,25,100,98,50,https://www.superherodb.com/pictures2/portraits/10/100/878.jpg,https://akabab.github.io/superhero-api/api/id/48.json
49,Atlas,,DC Comics,bad,Male,God / Eternal,-,63,100,42,100,27,80,https://www.superherodb.com/pictures2/portraits/10/100/10838.jpg,https://akabab.github.io/superhero-api/api/id/49.json
50,Atom,Albert Pratt,DC Comics,good,Male,null,"Adventurer, Retired Professor of Nuclear Physics",null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/934.jpg,https://akabab.github.io/superhero-api/api/id/50.json
51,Atom,,DC Comics,good,Male,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1379.jpg,https://akabab.github.io/superhero-api/api/id/51.json
52,Atom Girl,Salu Digby,DC Comics,good,Female,null,-,38,10,23,28,38,42,https://www.superherodb.com/pictures2/portraits/10/100/1180.jpg,https://akabab.github.io/superhero-api/api/id/52.json
53,Atom II,Ray Palmer,DC Comics,good,Male,Human,Physics Professor,88,10,33,45,40,60,https://www.superherodb.com/pictures2/portraits/10/100/938.jpg,https://akabab.github.io/superhero-api/api/id/53.json
54,Atom III,Adam Cray,DC Comics,good,Male,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/939.jpg,https://akabab.github.io/superhero-api/api/id/54.json
55,Atom IV,Ryan Choi,DC Comics,good,Male,null,Professor of nuclear physics at Ivy University,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/940.jpg,https://akabab.github.io/superhero-api/api/id/55.json
56,Aurora,Jeanne-Marie Beaubier,Marvel Comics,good,Female,Mutant,"Adventurer; former terrorist, nun, history/geography teacher",63,10,96,60,74,56,https://www.superherodb.com/pictures2/portraits/10/100/1289.jpg,https://akabab.github.io/superhero-api/api/id/56.json
57,Azazel,,Marvel Comics,bad,Male,Neyaphem,Leader of the Neyaphem,50,11,47,95,100,80,https://www.superherodb.com/pictures2/portraits/10/100/1481.jpg,https://akabab.github.io/superhero-api/api/id/57.json
58,Azrael,Michael Washington Lane,DC Comics,good,Male,Human,"Former Police Officer, vigilante",63,18,17,20,35,80,https://www.superherodb.com/pictures2/portraits/10/100/1532.jpg,https://akabab.github.io/superhero-api/api/id/58.json
59,Aztar,Aztar,Spectre,good,Male,null,-,null,98,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1012.jpg,https://akabab.github.io/superhero-api/api/id/59.json
60,Bane,,DC Comics,bad,Male,Human,-,88,38,23,56,51,95,https://www.superherodb.com/pictures2/portraits/10/100/637.jpg,https://akabab.github.io/superhero-api/api/id/60.json
61,Banshee,Sean Cassidy,Marvel Comics,good,Male,Human,"Currently founder and director of operation for X-Corps, formerly Adventurer and Headmaster at the Massachusetts Academy, in charge of Generation X, Interpol Inspector and Agent, freelance detective, professional criminal, involuntary operative for Factor",50,10,58,40,63,70,https://www.superherodb.com/pictures2/portraits/10/100/26.jpg,https://akabab.github.io/superhero-api/api/id/61.json
62,Bantam,Roberto Velasquez,Marvel Comics,good,Male,null,"Adventurer, boxing trainer, former boxer",25,53,23,54,21,56,https://www.superherodb.com/pictures2/portraits/10/100/229.jpg,https://akabab.github.io/superhero-api/api/id/62.json
63,Batgirl,Barbara Gordon,Oracle,good,Female,Human,-,88,11,33,40,34,90,https://www.superherodb.com/pictures2/portraits/10/100/1111.jpg,https://akabab.github.io/superhero-api/api/id/63.json
64,Batgirl,Mary Elizabeth Kane,Hawkfire,good,Female,null,Crime-fighter,null,27,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/638.jpg,https://akabab.github.io/superhero-api/api/id/64.json
65,Batgirl III,Helena Rosa Bertinelli,Huntress,good,Female,null,-,null,43,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1112.jpg,https://akabab.github.io/superhero-api/api/id/65.json
66,Batgirl IV,Cassandra Cain,DC Comics,good,Female,Human,-,69,12,27,56,46,100,https://www.superherodb.com/pictures2/portraits/10/100/1113.jpg,https://akabab.github.io/superhero-api/api/id/66.json
67,Batgirl V,Charlotte Gage-Radcliffe,Misfit,good,Female,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1115.jpg,https://akabab.github.io/superhero-api/api/id/67.json
68,Batgirl VI,Stephanie Brown,Spoiler,good,Female,null,College student at Gotham University,75,10,23,28,22,80,https://www.superherodb.com/pictures2/portraits/10/100/1398.jpg,https://akabab.github.io/superhero-api/api/id/68.json
69,Batman,Terry McGinnis,DC Comics,good,Male,Human,-,81,40,29,55,63,90,https://www.superherodb.com/pictures2/portraits/10/100/10441.jpg,https://akabab.github.io/superhero-api/api/id/69.json
70,Batman,Bruce Wayne,DC Comics,good,Male,Human,Businessman,100,26,27,50,47,100,https://www.superherodb.com/pictures2/portraits/10/100/639.jpg,https://akabab.github.io/superhero-api/api/id/70.json
71,Batman II,Dick Grayson,Nightwing,good,Male,Human,-,88,11,33,28,36,100,https://www.superherodb.com/pictures2/portraits/10/100/1496.jpg,https://akabab.github.io/superhero-api/api/id/71.json
72,Battlestar,Lemar Hoskins,Marvel Comics,good,Male,null,"Former wrestler, federal operative",50,53,35,74,48,74,https://www.superherodb.com/pictures2/portraits/10/100/231.jpg,https://akabab.github.io/superhero-api/api/id/72.json
73,Batwoman V,Katherine Rebecca Kane,DC Comics,good,Female,Human,-,81,8,29,25,27,80,https://www.superherodb.com/pictures2/portraits/10/100/10234.jpg,https://akabab.github.io/superhero-api/api/id/73.json
74,Beak,Barnell Bohusk,Marvel Comics,good,Male,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/232.jpg,https://akabab.github.io/superhero-api/api/id/74.json
75,Beast,Henry Philip McCoy,Marvel Comics,good,Male,Mutant,"Biochemist, formerly Xavier Institute for Higher Learning science and math Instructor, mutant activist, college lecturer, researcher, professional wrestler",94,48,38,60,43,85,https://www.superherodb.com/pictures2/portraits/10/100/27.jpg,https://akabab.github.io/superhero-api/api/id/75.json
76,Beast Boy,Garfield Mark Logan,DC Comics,good,Male,Human,"Adventurer, Struggling Actor",50,28,50,70,79,40,https://www.superherodb.com/pictures2/portraits/10/100/640.jpg,https://akabab.github.io/superhero-api/api/id/76.json
77,Beetle,,Marvel Comics,bad,Male,null,-,null,54,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1122.jpg,https://akabab.github.io/superhero-api/api/id/77.json
78,Ben 10,Benjamin Kirby Tennyson,DC Comics,good,Male,null,-,10,7,8,10,90,40,https://www.superherodb.com/pictures2/portraits/10/100/1365.jpg,https://akabab.github.io/superhero-api/api/id/78.json
79,Beta Ray Bill,Beta Ray Bill (translation of his Korbinite name),Marvel Comics,good,Male,null,Guardian of the Korbinite race,63,80,35,95,100,84,https://www.superherodb.com/pictures2/portraits/10/100/28.jpg,https://akabab.github.io/superhero-api/api/id/79.json
80,Beyonder,,Marvel Comics,good,Male,God / Eternal,Former student,100,100,100,100,100,84,https://www.superherodb.com/pictures2/portraits/10/100/1293.jpg,https://akabab.github.io/superhero-api/api/id/80.json
81,Big Barda,Barda Free,DC Comics,bad,Female,New God,-,88,100,79,100,100,100,https://www.superherodb.com/pictures2/portraits/10/100/1169.jpg,https://akabab.github.io/superhero-api/api/id/81.json
82,Big Daddy,Damon Macready,Icon Comics,good,Male,null,-,38,10,12,32,22,64,https://www.superherodb.com/pictures2/portraits/10/100/1338.jpg,https://akabab.github.io/superhero-api/api/id/82.json
83,Big Man,Frederick Foswell,Marvel Comics,bad,Male,null,"Reporter, professional criminal",75,12,23,28,19,70,https://www.superherodb.com/pictures2/portraits/10/100/1038.jpg,https://akabab.github.io/superhero-api/api/id/83.json
84,Bill Harken,,SyFy,good,Male,Alpha,-,63,36,33,60,27,40,https://www.superherodb.com/pictures2/portraits/10/100/1527.jpg,https://akabab.github.io/superhero-api/api/id/84.json
85,Billy Kincaid,Billy Kincaid,Image Comics,bad,Male,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1072.jpg,https://akabab.github.io/superhero-api/api/id/85.json
86,Binary,Carol Danvers,Captain Marvel,good,Female,null,"Former National Aeronautics and Space Administration security Chief, former magazine editor, former freelance writer, former military intelligence officer.",null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/30.jpg,https://akabab.github.io/superhero-api/api/id/86.json
87,Bionic Woman,Jamie Sommers,,good,Female,Cyborg,-,56,37,33,40,20,40,https://www.superherodb.com/pictures2/portraits/10/100/10648.jpg,https://akabab.github.io/superhero-api/api/id/87.json
88,Bird-Brain,,Marvel Comics,good,-,null,-,25,10,35,28,21,42,https://www.superherodb.com/pictures2/portraits/10/100/240.jpg,https://akabab.github.io/superhero-api/api/id/88.json
89,Bird-Man,Henry Hawk,Marvel Comics,bad,Male,Human,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1503.jpg,https://akabab.github.io/superhero-api/api/id/89.json
90,Bird-Man II,Achille DiBacco,Marvel Comics,bad,Male,Human,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1504.jpg,https://akabab.github.io/superhero-api/api/id/90.json
91,Birdman,Ray Randal,Hanna-Barbera,good,Male,God / Eternal,-,null,35,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1506.jpg,https://akabab.github.io/superhero-api/api/id/91.json
92,Bishop,Lucas Bishop,Marvel Comics,good,Male,Mutant,"(current) Adventurer, (former) Commander in the XSE (Xavier's Security Enforcers)",63,14,23,75,100,65,https://www.superherodb.com/pictures2/portraits/10/100/31.jpg,https://akabab.github.io/superhero-api/api/id/92.json
93,Bizarro,Bizarro,DC Comics,neutral,Male,Bizarro,-,38,95,100,100,100,85,https://www.superherodb.com/pictures2/portraits/10/100/642.jpg,https://akabab.github.io/superhero-api/api/id/93.json
94,Black Abbott,,Marvel Comics,bad,Male,null,"Cult leader, former monk",null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1049.jpg,https://akabab.github.io/superhero-api/api/id/94.json
95,Black Adam,Teth-Adam,DC Comics,bad,Male,null,-,88,100,92,100,100,56,https://www.superherodb.com/pictures2/portraits/10/100/643.jpg,https://akabab.github.io/superhero-api/api/id/95.json
96,Black Bolt,Blackagar Boltagon,Marvel Comics,good,Male,Inhuman,King of the Inhumans,75,67,100,84,100,56,https://www.superherodb.com/pictures2/portraits/10/100/243.jpg,https://akabab.github.io/superhero-api/api/id/96.json
97,Black Canary,Laurel Lance,DC Comics,good,Female,Metahuman,"Detective/Crime-fighter, Chairperson of the Justice League of America; former florist, judo instructor",63,8,33,20,52,80,https://www.superherodb.com/pictures2/portraits/10/100/1005.jpg,https://akabab.github.io/superhero-api/api/id/97.json
98,Black Canary,Dinah Drake Lance,DC Comics,good,Female,Human,"Florist, former private investigator",63,8,33,15,45,80,https://www.superherodb.com/pictures2/portraits/10/100/644.jpg,https://akabab.github.io/superhero-api/api/id/98.json
99,Black Cat,Felicia Hardy,Marvel Comics,good,Female,Human,"Cat burglar; Private investigator, founder of Cat's Eye Investigations.",75,16,33,10,23,70,https://www.superherodb.com/pictures2/portraits/10/100/32.jpg,https://akabab.github.io/superhero-api/api/id/99.json
100,Black Flash,,DC Comics,neutral,Male,God / Eternal,-,44,10,100,80,100,30,https://www.superherodb.com/pictures2/portraits/10/100/10831.jpg,https://akabab.github.io/superhero-api/api/id/100.json
101,Black Goliath,,Marvel Comics,good,Male,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/245.jpg,https://akabab.github.io/superhero-api/api/id/101.json
102,Black Knight III,Dane Whitman,Marvel Comics,good,Male,Human,"Adventurer, scientist; former crusader",63,10,8,70,43,70,https://www.superherodb.com/pictures2/portraits/10/100/246.jpg,https://akabab.github.io/superhero-api/api/id/102.json
103,Black Lightning,Jefferson Pierce,DC Comics,good,Male,null,"Crime Fighter, High School teacher, Former gold-medal-winning Olympic Decathlete, formerly Secretary of Education under Presidents Pete Ross and Lex Luthor.",50,11,53,28,70,75,https://www.superherodb.com/pictures2/portraits/10/100/1128.jpg,https://akabab.github.io/superhero-api/api/id/103.json
104,Black Mamba,Tanya Sealy,Marvel Comics,bad,Female,null,"Mercenary, professional criminal, former call girl",75,10,35,42,88,65,https://www.superherodb.com/pictures2/portraits/10/100/1106.jpg,https://akabab.github.io/superhero-api/api/id/104.json
105,Black Manta,David,DC Comics,bad,Male,Human,-,75,28,50,60,76,85,https://www.superherodb.com/pictures2/portraits/10/100/10546.jpg,https://akabab.github.io/superhero-api/api/id/105.json
106,Black Panther,T'Challa,Marvel Comics,good,Male,Human,"King and Chieftain of Wakanda, scientist; former school teacher",88,16,30,60,41,100,https://www.superherodb.com/pictures2/portraits/10/100/247.jpg,https://akabab.github.io/superhero-api/api/id/106.json
107,Black Widow,Natasha Romanoff,Marvel Comics,good,Female,Human,"Adventurer, Intelligence agent, former ballerina",75,13,33,30,36,100,https://www.superherodb.com/pictures2/portraits/10/100/248.jpg,https://akabab.github.io/superhero-api/api/id/107.json
108,Black Widow II,Yelena Belova,Marvel Comics,good,Female,null,-,null,48,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/618.jpg,https://akabab.github.io/superhero-api/api/id/108.json
109,Blackout,,Marvel Comics,bad,Male,Demon,"Assassin, enforcer",63,32,45,80,45,65,https://www.superherodb.com/pictures2/portraits/10/100/1507.jpg,https://akabab.github.io/superhero-api/api/id/109.json
110,Blackwing,Joseph Manfredi,Marvel Comics,bad,Male,null,-,38,10,35,32,20,56,https://www.superherodb.com/pictures2/portraits/10/100/249.jpg,https://akabab.github.io/superhero-api/api/id/110.json
111,Blackwulf,Lucian,Marvel Comics,-,Male,Alien,Freedom Fighter,50,28,8,30,69,25,https://www.superherodb.com/pictures2/portraits/10/100/1508.jpg,https://akabab.github.io/superhero-api/api/id/111.json
112,Blade,Eric Brooks,Marvel Comics,good,Male,Vampire,"Vampire hunter, former private investigator.",63,28,38,50,40,90,https://www.superherodb.com/pictures2/portraits/10/100/33.jpg,https://akabab.github.io/superhero-api/api/id/112.json
113,Blaquesmith,-,Vertigo II,good,-,null,Inventor,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/34.jpg,https://akabab.github.io/superhero-api/api/id/113.json
114,Bling!,Roxanne Washington,Marvel Comics,good,Female,null,-,69,14,12,90,52,28,https://www.superherodb.com/pictures2/portraits/10/100/1349.jpg,https://akabab.github.io/superhero-api/api/id/114.json
115,Blink,Clarice Ferguson,Marvel Comics,good,Female,Mutant,"Adventurer, freedom fighter",50,8,20,28,77,64,https://www.superherodb.com/pictures2/portraits/10/100/35.jpg,https://akabab.github.io/superhero-api/api/id/115.json
116,Blizzard,Gregor Shapanka,Marvel Comics,bad,Male,null,"Professional criminal, mercenary, engineer, former scientist",null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/899.jpg,https://akabab.github.io/superhero-api/api/id/116.json
117,Blizzard,,Marvel Comics,bad,Male,null,-,null,72,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/898.jpg,https://akabab.github.io/superhero-api/api/id/117.json
118,Blizzard II,Donald Gill,Marvel Comics,bad,Male,null,Adventurer; former mercenary and professional criminal,38,10,27,42,47,56,https://www.superherodb.com/pictures2/portraits/10/100/619.jpg,https://akabab.github.io/superhero-api/api/id/118.json
119,Blob,Frederick J. Dukes,Marvel Comics,bad,Male,null,"Former criminal, terrorist, government agent, carnival performer",10,83,23,95,28,72,https://www.superherodb.com/pictures2/portraits/10/100/1119.jpg,https://akabab.github.io/superhero-api/api/id/119.json
120,Bloodaxe,Jackie Lukus,Marvel Comics,bad,Female,Human,"Architect, former vigilante",63,80,33,80,100,84,https://www.superherodb.com/pictures2/portraits/10/100/1509.jpg,https://akabab.github.io/superhero-api/api/id/120.json
121,Bloodhawk,Lemuel Krug,Marvel Comics,good,Male,Mutant,-,50,10,50,80,80,64,https://www.superherodb.com/pictures2/portraits/10/100/1510.jpg,https://akabab.github.io/superhero-api/api/id/121.json
122,Bloodwraith,Sean Dolan,Marvel Comics,bad,Male,null,Former squire,null,72,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/186.jpg,https://akabab.github.io/superhero-api/api/id/122.json
123,Blue Beetle,Daniel Garrett,DC Comics,good,Male,null,Archaeologist; professor of archaeology,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/646.jpg,https://akabab.github.io/superhero-api/api/id/123.json
124,Blue Beetle,,DC Comics,good,Male,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1010.jpg,https://akabab.github.io/superhero-api/api/id/124.json
125,Blue Beetle II,Theodore Kord,DC Comics,good,Male,null,"Inventor, President of Kord Omniversal, Crimefighter",null,45,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1008.jpg,https://akabab.github.io/superhero-api/api/id/125.json
126,Blue Beetle III,Jaime Reyes,DC Comics,good,Male,Human,Student,50,34,58,80,100,30,https://www.superherodb.com/pictures2/portraits/10/100/1009.jpg,https://akabab.github.io/superhero-api/api/id/126.json
